"","x"
"119","//@天使投资唐: C店要生存就要有特色！//@中宏嘉国:只是时间问题,迟早C店+中介平台迟早被直销干掉//@Evan一路前行C店理解新兵担子//@龚文祥//@创而优则投//唐:阿里要与京东和苏宁易购等抗衡就要推天猫,淘宝店变为牺牲品!美国Craigslist.org免费广告吃掉①地方报刊黄页收入②eBay本地C2C市场份额"
"120","Topshop jeans, Stine Goya shirt, vintage boots from eBay and Yvonne Koné bag."
"121","//@龚文祥://@创而优则投://@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
"122","SoGeGo.net 搜个够 - 澳男子在eBay上拍卖自己岳母 叫价56澳元 - 【环球网综合报道】岳母通常扮演着不太讨女婿喜欢的角色，但一位【手机访问请使用：原网页或电脑版】打开...http://t.cn/zQWkUpi"
"123","【eBay推出“如期递送”服务：用户可选择收货时间】eBay关注本地业务凤凰科技讯 北京时间8月9日消息，据科技网站TheNextWeb报道，当地时间本周四，eBay宣布，将为eBay Now运送服务添加“如期递送”（scheduled del （分享自 @凤凰科技） http://t.cn/zQlZny5"
"124","【PayPal在英国测试“人脸识别”支付系统】8月9日 国际报道：全球最大的网上支付公司、eBay旗下PayPal宣布，日前其在英国伦敦泰晤士河畔的里士满区的12家商场推出依靠“人脸识别”的收银机支付系统。详情：http://t.cn/zQlZJ2u"
"125","好赞//@littleJinnee: So Cute!!!! 你的章子在外国妞这儿肯定很受欢迎～～～要不你搞个授权给我，咱们ebay走起啊～～～"
"126","ebay上面的娃都贵出翔啊…………"
"127","【亚马逊推社交收藏功能 与Pinterest类似】新的收藏功能功能Collections允许用户发布自己喜欢或已经购买的产品图片，并可进行分类管理。如果对其他用户的收藏页面中商品感兴趣，用户可以方便地进行购买。去年它的竞争对手eBay也推出了类Pinterest功能。"
"128","#好肉引来关注也惹来苍蝇# 前两天有人在Ebay上拍了我卖的一个纪梵希真皮包，800刀。问银行帐号，我只让用Paypal。此人而后发来伪装的Paypal邮件通知到账并有链接查余额。我警惕性强，当然不会随意点链接。此处省略800字。结论：那厮是骗子！我没有上当。汇报Ebay及Paypal得以下回复。网络鱼龙混杂啊！"
"129","So Cute!!!! 你的章子在外国妞这儿肯定很受欢迎～～～要不你搞个授权给我，咱们ebay走起啊～～～//@Sherry曳雪: 完成@舒小莫爱穿平底鞋 @Suri蔚婷 @littleJinnee @林璇adpersonin @特林德爾 @酵酵酵酵酱"
"130","ebay简直就是淘宝呀，各种包邮各种便宜，冲动的买了不少，然后发现投标的可以更便宜，然后又重新把那些买了的一个一个取消交易。呃，手贱，没办法。"
"131","啊哈哈真相//@一Clyde一: 这幅画根本不叫《迪奥的世界》，而是叫The Hands Resist Him，不是中世纪意大利画家画的，而是是美国画家Bill Stoneham在1972年画的2000年eBay上买这幅画的人为了提高页面点击率而编造出了这幅画闹鬼的故事，导致画价从199美刀狂飙到1025美刀注意衣服，衣服明显是现代的衣服"
"132","怎么会那么便宜!!!!ebay会不会卖假货"
"133","【PayPal在英国测试“人脸识别”支付系统】全球最大的网上支付公司、eBay旗下PayPal宣布，日前其在英国伦敦泰晤士河畔的里士满区的12家商场推出依靠“人脸识别”的支付系统。在这一智能支付系统下，购物者使用PayPal面向iOS、Android和Windows Phone提供的移动应用，可以在它们的手机上看到附近的商场"
"134","唱响ebay有点搞笑。"
"135","刚刚问了其他朋友，好像他们今天在ebay上面收到好几个投诉，今天一天ebay打开缓慢，什么情况，ebay有什么大动静@海贸会 @ebay"
"136","都是白痴吗？难道人家把整个报社挂在EBAY上等着你去拍？"
"137","#eBay环保#【eBay与捐助者开启对话】在DCED会议上，eBay与捐助机构、其他私营部门、民间团体进行了对话，讨论环保问题。会上提出环保这个核心概念，一个好的商业观念是与积极的社会影响相联系的。自从1995年创立以来，eBay就从根本上反思购买、销售和支付的旧模式，从而创建一个环保的新商业模式。"
"138","【传说中的“刷脸”终于来了！】eBay旗下的PayPal近日他们推出了依靠“人脸识别”的支付系统。“用户点进某一商场后，通过点击其名称、支付购买项目。此时用户的名字和照片便出现在了商场的支付系统上。待客户同意支付后，收银员便可点击用户照片发出付款指令...”原文：http://t.cn/zQWxUfS"
"139","#快银学堂#【阿里巴巴上市的背後，中国第三方支付的秘辛】阿里巴巴这个公司的历史，大家耳熟能响。但是由于他的牵涉范围甚广，不是像是Facebook, Google, Yahoo，eBay，Amazon这么单纯。而其公司历史，事实上是属于第一代网路公司，可追溯到1999年（源自科技新报 易观网）详情戳：http://t.cn/zQWd1Y5"
"140","隔壁team简直就是全明星阵容啊，詹姆斯、科比、钱德勒、保罗...于是上班时候经常听到类似“科比，过来帮我看个bug”“好的”这样的对话。NBA全明星阵容，现已加入eBay豪华午餐"
"141","两年前在ebay上买了一台内闪已烂，测光不准，快门不准的400D，只需90刀，从此踏入了被迫手动+背诵测光表的旅程。今日换一台入门全画幅和入门红圈，简直泪流满面，感觉非常够用了了"
"142","和某些国人交易真真是恶心，压价你也看看行情啊，还左一个ebay拍卖价多少多少右一个扣除手续费只卖多少多少，谁没用过ebay啊？你要真能用那价格拍到犯得上还跟我在这里唧唧歪歪么？不是诚心想买麻烦滚粗"
"143","【【猎头】CSC for eBay-java开发】Contact:nicole.zhang@bringnova.com 这些职位由Nicole zhang与您联系要是有兴趣的话，直接把信息和CV发到联系邮箱哈，要是合适的话nicole zhang会第一时间联系你 O(∩_∩)O~... --发布到微刊《猎职》http://t.cn/zQWBmUD"
"144","【eBay为零售商推出数据平台】一直鼓吹Big Data大数据的的eBay Inc.今天终于将为广大零售商推出相关服务了，一个在平板电脑上线的Retail Associate Platform零售辅助平台将帮助eBay商家建立消费者数据。该应用将采取收费模式。http://t.cn/zQWtOcs"
"145","#IT读点#【阿里巴巴价值多高？】阿里巴巴 == ebay+ amazon+paypal + B2B 。阿里事实上是属于第一代的网络公司，可以追溯到1999年去。阿里巴巴究竟在800亿美金到1,000亿美金之间的评价会落点何处，会不会超过1,000亿美金？对于现有股东、新投资者、投资银行确实是一个极大的挑战。http://t.cn/zQWjxih"
"146","nnd ,ebay认证的信用卡既不支持JCB，也不支持AE .天要亡我啊~~~！！！"
"147","2006年愚人节，本尼斯在eBay上宣布出售一具“妖精”的遗骸，他在接受BBC采访时说：“我收到了各种各样的邮件，其中有人说他们曾经看过完全相同的东西，还有一个人命令我立即把‘遗骸’交还到墓地，否则后果自负。”"
"148","Here&#039;s the eBay fancy gift card! 我在:http://t.cn/zQWumSZ"
"149","【黑莓Z10在eBay网站最高拍卖价达1775美元】2月2日消息，据国外媒体报道，黑莓公司的Z10智能手机目前在eBay网站的最高拍卖价格已达到1775美元，这也表明这款设备在美国市场的初期需求非常旺盛。按照计划，Z10将于今年3月在美国市场发售。"
"150","【谷歌眼镜现身eBay 竞价超过人民币56.7万元】你既不是谷歌眼镜的开发者，也不是谷歌 #ifihadglass活动中的赢家，所以你只能等待谷歌眼镜的正式发布了，对不对？也许还有其他办法哦。如果你有钱，你就可以在eBay网站上买下这件眼镜了，虽然现在这件眼镜的竞价已超过90，000美元（约人民币56.7万元）。"
"151","EBAY来催我付款 擦 卖家都新开了个Transaktion把东西卖掉了好么 我给卖家邮件也不回 你让我付个毛款啊 个卖家也2B 老子要是点了Barzahlen bei Abholung你不得多交Provision啊 艹"
"152","【美国29岁男子出售游戏商店 标价350万美元】一位居住在佛罗里达的男子在ebay上为自己所拥有的三家游戏商店以及房屋，汽车和收藏品的所有权标价350万美元。除此之外，买家还会得到Butcher所有的个人收藏，包括《蜘蛛侠：火焰之网》32X, 未拆封的Neo Geo，红白机游戏，《光环：致远星》等等。"
"153","eBay旗下PayPal宣布在英国伦敦推出“人脸识别”系统http://t.cn/zQWna4I"
"154","老子tm再也不在eBay上卖东西了！Paypal扣手续费我忍了！eBay竟然tm还要扣9%！！天理何在我去&#039;再加上碰到一些傻逼的buyers&#039;做生意真不容易我还是滚去看CS吧嚓！ 我在:Broadway"
"155","AIR JORDAN 5 ""Fear"" 采用了深橄榄绿的麂皮鞋面，中底则是有一个绿黑的渐变，任然采用了浅蓝色的水晶大底。这款鞋将于 8 月 24 日发售，日前 eBay 上已经有卖家提前抢跑"
"156","【谷歌眼镜现身eBay 竞价超过人民币56.7万元】你既不是谷歌眼镜的开发者，也不是谷歌 #ifihadglass活动中的赢家，所以你只能等待谷歌眼镜的正式发布了，对不对？也许还有其他办法哦。如果你有钱，你就可以在eBay网站上买下这件眼镜了，虽然现在这件眼镜的竞价已超过90，000美元（约人民币56.7万元）。"
"157","@計媛兒 //@湾区吃喝玩乐小分队:eBay就有卖，博主在Santana Row旁边那家B&N也买过[馋嘴 //@洛杉矶吃货小分队: 这个真有卖？那就来个呕吐味和鼻屎味"
"158","【eBay总裁多纳霍：我们绝不会成为零售商】北京时间8月9日消息，据国外媒体报道，电商巨头eBay总裁兼首席执行官约翰多纳霍（John Donahoe）今日接受了《商业周刊》的专访，畅谈了电子商务和移动支付市场的未来发展前景。他表示：eBay已经成为一个不同于零售商的技术平台，eBay和零售商是合作关系。"
"159","【墙上的购物中心】eBay 在纽约为Kate Spade Saturday开设可购物橱窗，帮助零售商通过现有的实体店产生更多的销售。显示屏近一人高，装在建筑物外立面的展示橱窗上，顾客可触摸屏幕下单，商品将在一小时内由快递送达。总裁 William McComb表示eBay的技术可以让200平米的店面销售1000平米空间才能容纳的"
"160","【阿里巴巴改变中国经济的9个惊人事实】淘宝天猫双十一当天，阿里巴巴用13个小时38分钟贡献100亿GDP；2012年，淘宝网和天猫实现了11,000亿元人民币的交易额，高于亚马逊和eBay交易量总和；直接为24,000人提供岗位；间接创造工作岗位超过1200万……@阿里巴巴 @阿里巴巴中国"
"161","先预言 iPhone 5C将是一个失败的产品。苹果品牌一直的定位是高端、精品，就应该一直走高端线，突然做了一个不男不女的中端线，失去了高端品牌光环的苹果，将一无所有， 如果按照这个思路下去。iPhone 5C将是苹果公司走下坡的里程碑产品。大家可以购iPhone 5C来做历史的纪念！以后放在ebay上拍卖"
"162","//@天使投资唐: C店要生存就要有特色！//@中宏嘉国:只是时间问题,迟早C店+中介平台迟早被直销干掉//@Evan一路前行:天猫是正规军区,C店可以理解是新兵担子//@龚文祥//@创而优则投//唐:阿里要与京东和苏宁易购等抗衡就要推天猫美国Craigslist.org免费广告吃掉①地方报刊黄页收入②eBay本地C2C市场份额"
"163","M1300JP 2010復刻，處理價5000出，ebay有一雙是900刀，還是超大碼US11，樂天是10萬日元，也是US10+，US8.5這個價划不划得來？可以自己敲敲計算器，不墨跡，爽快包順豐...聯繫^^ WeChat：KevinMaDiDi"
"164","【谷歌眼镜现身eBay 竞价超过人民币56.7万元】你既不是谷歌眼镜的开发者，也不是谷歌 #ifihadglass活动中的赢家，所以你只能等待谷歌眼镜的正式发布了，对不对？也许还有其他办法哦。如果你有钱，你就可以在eBay网站上买下这件眼镜了，虽然现在这件眼镜的竞价已超过90，000美元（约人民币56.7万元）。"
"165","【调查：即便是二手 iPhone的价格仍要高于Galaxy】投资银行Piper Jaffray于今日公布了iPhone的转售价值指数。经过对比在eBay上拍卖的iPhone 5、iPhone 4S、iPhone 4、Galaxy 3、Galaxy Note2这5款手机，他们发现，iPhone的转售贬值率要低于三星的Galaxy手机。"
"166","网上再次曝光Safari纹理的Nike Air Foamposite One PRM实物照，此番来自eBay卖家，夸张的鞋身图案配上橙色的鲜艳点缀。"
"167","在ebay上看到这个商品图片真是戳中我笑点，感谢这位小哥的销魂眼神给我工作带来欢乐。。。"
"168","2006年愚人节，本尼斯在eBay上宣布出售一具“妖精”的遗骸，他在接受BBC采访时说：“我收到了各种各样的邮件，其中有人说他们曾经看过完全相同的东西，还有一个人命令我立即把‘遗骸’交还到墓地，否则后果自负。”"
"169","eBay就有卖，博主在Santana Row旁边那家B&N也买过[馋嘴 //@洛杉矶吃货小分队: 这个真有卖？那就来个呕吐味和鼻屎味"
"170","#在线旅游#【阿里巴巴改变中国经济的几个惊人事实】①2012年，阿里实现了11,000亿元人民币的交易额，高于亚马逊和eBay交易量总和。②直接为24,000人提供岗位；③2012年双十一当天，阿里用13个小时38分钟贡献100亿GDP，超越了11年美国电子商务行业的最高记录；... http://t.cn/zQNaaoH"
"171","//@龚文祥: //@创而优则投://@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
"172","【美国29岁男子出售游戏商店 标价350万美元】一位居住在佛罗里达的男子在ebay上为自己所拥有的三家游戏商店以及房屋，汽车和收藏品的所有权标价350万美元。除此之外，买家还会得到Butcher所有的个人收藏，包括《蜘蛛侠：火焰之网》32X, 未拆封的Neo Geo，红白机游戏，《光环：致远星》等等。"
"173","//@龚文祥: //@创而优则投://@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
"174","现在ebay已经出了是什么情况!!!"
"175","有时晚上做个噩梦，早起什么都不记得，大概是个悬疑惊悚，，然后一身冷汗呼吸困难，，半天缓不过来打开ebay噼里啪啦，然后就回笼了个美觉又神采奕奕去奔命咯，，人生就是一个傻瓜挣傻瓜花的竞赛，，你还真别懈怠"
"176","2006年愚人节，本尼斯在eBay上宣布出售一具“妖精”的遗骸，他在接受BBC采访时说：“我收到了各种各样的邮件，其中有人说他们曾经看过完全相同的东西，还有一个人命令我立即把‘遗骸’交还到墓地，否则后果自负。”"
"177","【eBay为零售商推出数据平台】一个在平板电脑上线的Retail Associate Platform零售辅助平台将帮助eBay商家建立消费者购买历史、联系信息、仓储及收入变化数据。消费者数据可以让零售商360度了解消费者，同时该平台还具有分析和报告功能。"
"178","ebay Amazon有举报功能么话说……卖假毛的99%都是盗淘宝的图，而且很多都是用烂白菜卡丝毛发货还敢卖20+刀一顶，而且全是中国的卖家_(:3」∠)_这么坑美帝妹子的钱很好玩？？？"
"179","【调查：即便是二手 iPhone的价格仍要高于Galaxy】投资银行Piper Jaffray于今日公布了iPhone的转售价值指数。经过对比在eBay上拍卖的iPhone 5、iPhone 4S、iPhone 4、Galaxy 3、Galaxy Note2这5款手机，他们发现，iPhone的转售贬值率要低于三星的Galaxy手机。"
"180","【黑莓Z10在eBay网站最高拍卖价达1775美元】2月2日消息，据国外媒体报道，黑莓公司的Z10智能手机目前在eBay网站的最高拍卖价格已达到1775美元，这也表明这款设备在美国市场的初期需求非常旺盛。按照计划，Z10将于今年3月在美国市场发售。"
"181","04年还在中学时办的第一张@中国银行信用卡 用到这个月终于正式退伍了。现在的眼光来看这种卡既收年费又不能自动还款，诟病太多。可当年这张卡几乎是所向披靡无所不能，在中华大地信用卡遍地开花前就开始用它注册我的第一个eBay账号第一个Paypal第一次海外购物认识了一大帮败家的朋友。再见了老伙计"
"182","首先，不同意C店+中介平台迟早被直销干掉观点，个人认为未来两者谁也吃不掉谁，各有优缺点，相比较而存在，相斗争而发展，斗争的边界依然是行业平均利润率来决定；其次，只从销售平台价值看ebay市值有失偏颇。实际上两者销售平台价值在公司总价值中一直在下降，ebay向线下的战略大调整让人期待"
"183","【ASSA奇葩】一西悉尼男子 Bush在ebay网挂牌出售自己的准岳母！""你只能买下她七天，她会做饭，会打扫，并随身带着一条狗,""Bush在网上这样描述道。出人意料的是，这主意竟是他丈母娘提出的。原来Bush在蓝山攀岩时摔断了腿，现需要钱进行治疗。所以老人家想出这点子帮他筹点钱"
"184","西南分会特发起座谈会访，邀请大中小型包括创业型公司UED团队负责人或骨干人员，旨在收集用户体验在跨领域行业中的生存状况、现存困扰及发展趋势等信息。主持人：郎佳明。现任沃尔玛1号店用户体验总监（曾任盛大在线用户体验设计中心总监；群硕软件UED部门经理；eBay中国产品设计研究经理）。8月17日。"
"185","【eBay为零售商推出数据平台】 一直鼓吹Big Data大数据的的eBay Inc.今天终于将为广大零售商推出相关服务了，一个在平板电脑上线的Retail Associate Platform零... http://t.cn/zQWtOcs"
"186","消费者与消费者之间的电子商务（Consumer to Consumer ，即C2C）。C2C商务平台就是通过为买卖双方提供一个在线交易平台，使卖方可以主动提供商品上网拍卖，而买方可以自行选择商品进行竞价。其代表是eBay、taobao电子商务模式"
"187","我在这里@360上网印象/（http://t.cn/zQWaclh）“eBay”的评论“本身在这个网站上买东西，买全球各地，我觉得不错啊，为什么说差...”，你支持我的观点吗？"
"188","Ebay和亚马逊采用差异竞争策略，比如销售平台，一个采用分散，一个采用集中；核心行业，亚马逊选中数字出版，Ebay选中外贸；技术突破，亚马逊选中云计算，ebay选中在线支付等等，但进化的路径又惊人的相似，只是细节不同。"
"189","【全球两台 世嘉未问世主机“冥王星”10万天价售出】eBay上一位ID名为kidvid666的卖家，日前以15500美元（约合95267元人民币）的高价卖出了以前在跳蚤市场以“1美元”购入、全世界仅有2台的SEGA未发售梦幻主机“冥王星(Pluto)”的原型机。"
"190","回复@王晔Ken:我不喜欢淘宝，没有那火眼金睛。说起网购，我家的电视、电脑、音响、手机、相机、镜头、健身器材……都是网上买的，甚至汽车也是ebay上拍的，但我很少在网上买衣服，因为我不能只凭图片想像鞋子是否合脚是否舒服，衣服穿上身后效果是否好。在店里买的另一个好处是，如果有不满意退货比较"
"191","eBay最近推出Retail Associate Platform数字零售辅助平台，帮助零售商建立消费者购买历史、联系信息、仓储及收入变化数据。这是ebay在销售平台基础上，继续打造和完善购物综合服务平台。ebay通过收购paypal，移动商务和跨境电商奠定了其在网络支付，跨境贸易中的领导地位。"
"192","好不容易EBAY终于出了第一单，拍卖交易费真高，10%！！太久没接触第三方平台了，还有每个月的销售额限制，产品类别数量上传限制，真严格！看来需要好好学习了。。。不过这也好，门槛高点，竞争的激烈程度稍微可以低点！慢慢积累吧"
"193","Musk这就一个奇人，10岁就会电脑编程，99年创立paypal然后卖给ebay，后来玩火箭玩电动车，清洁能源是大势所趋，希望早日进入中国市场"
"194","//@天使投资唐: @中宏嘉国:只是时间问题,迟早C店+中介平台迟早被直销干掉//@Evan一路前行:天猫是正规军区,C店可以理解是新兵担子//@龚文祥//@创而优则投//唐:阿里要与京东和苏宁易购等抗衡就要推天猫,淘宝店变为牺牲品!美国Craigslist.org免费广告吃掉①地方报刊黄页收入②eBay本地C2C市场份额"
"195","PayPal在英国测试“人脸识别”支付系统 全球最大的网上支付公司、eBay旗下PayPal宣布，日前其在英国伦敦泰晤士河畔的里士满区的12家商场推出依靠“人脸识别”的支付系统。"
"196","eBay为零售商推出数据平台 一直鼓吹Big Data大数据的的eBay Inc.今天终于将为广大零售商推出相关服务了，一个在平板电脑上线的Retail Associate Platform零售辅助平台将帮助eBay商家建立消费者数据。"
"197","【二手手机谁最保值？iPhone4价格上涨10%，S3暴跌】苹果发布已经3年的iPhone 4在eBay上的二手销售价格上涨了10%，iPhone 4S下降了11.85%，而iPhone 5只下降了3.75%。在相同的时期，三星Galaxy S3在eBay上的售价暴跌了27.32%，而Galaxy Note II的售价竟然下跌了35.54%。"
"198","C店要生存就要有特色！//@中宏嘉国:只是时间问题,迟早C店+中介平台迟早被直销干掉//@Evan一路前行:天猫是正规军区,C店可以理解是新兵担子//@龚文祥//@创而优则投//唐:阿里要与京东和苏宁易购等抗衡就要推天猫,淘宝店变为牺牲品!美国Craigslist.org免费广告吃掉①地方报刊黄页收入②eBay本地C2C市场份额"
"199","#同城奇闻#ebay拍卖岳母？来自悉尼的布什正在做着很多男人一直梦寐以求但却不敢去做的事：甩掉自己的岳母。布什说：“你只能拥有她七天。她会煮饭、做卫生，还带着条狗。你必须有一间单层的房子，因为她的膝盖不太灵活。”他将未婚妻的母亲克莱亚放到了拍卖网站eBay上拍卖..."
"200","手头紧 西悉尼男子上eBay拍卖岳母. 竟然天下有这么好的岳母，和谐 http://t.cn/zQOsmGD"
"201","MLGB!!! eBay 客服係一群脑残!!!食屎拉!!!"
"202","【第三方支付将添外资新丁 eBay难成第一家】7月1日讯，内有商业银行，外有支付公司获牌在即，第三方支付公司将面临更多挑战。据接近监管层人士透露，央行将在“不久后公布获得支付业务许可证的外资公司，最快会在7月内”，但有望拔得头筹的应该不是近期备受关注的eBay。"
"203","我在ebay花了比一张专辑本身还贵的邮费买了从韩国直邮的XOXO和Growl 我真是妥妥的脑缠粉了_(:з」∠)_ @小圈微甜 @丁mengmeng @端木流苏 小伙伴们我这病看来是没法治了"
"204","木啦，这是什么销售速度啊～不到24小时，一共6个，自留一个，<U+00A0>ebay两个小时就走了一个，亲们得了4个，周六就回朝～//@牙尖儿铺铺儿: 不好意思算错价，橄榄绿1499，酒红1549"
"205","ebay的搞不起～先来个球迷的过过瘾"
"206","Air Jordan 5 “Fear” – Available Early on eBay。 Air Jordan Retro V Sequoia/Fire Red–Medium Olive–Black 626971-350 08/24/13"
"207","@北美省钱快报: ”Etsy是美国一个在线销售手工工艺品的网站，于2005年6月18日上线，网站集聚了一大批极富影响力和号召力的手工艺术品设计师。在Etsy，人们可以开店，销售自己的手工艺品，模式类似eBay和中国的淘宝。“//@姚小温柔爱学术_SarA: www.etsy.com @北美省钱快报 忘记留地址了。"
"208","//@龚文祥: //@创而优则投://@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
"209","CM手办正在ebay上拍着呢，全员签名呀喂……有兴趣可以去围观，有票纸的可以去掺和掺和嘛~戳→http://t.cn/SzRrXU A http://t.cn/SzRrXU"
"210","eBay总裁多纳霍：我们绝不会成为零售商 问：导致移动支付发展缓慢的其中一项原因是卖场体验并没有差到不可救药的地步。而且用paypal或其他移动支付解决方案来付费花的时间反而更多一些。 答：paypal移动支付服务推出后，我们之所以能够取得200亿美元的移动支付营业额是因为这项服务既安全又便利。"
"211","每次看到就是败家的节奏。。。@卡卡小字路 以前不知道看谁说的，EBAY拍卖400多刀，人家自己网站就卖750了"
"212","Compared to TaoBao, I woud say Ebay you are nothing!, few sellers, user-unfriendly interface, pool feedback system. FUCKING EXPENSIVE POSTAGE 跟淘宝比起来只能充其量算垃圾,虽然已经买过20多次东西了，这次终于忍不了了！操操操"
"213","#随手拍# eBay再次出现Air Jordan彩虹系列鞋款，此番出售的是Air Jordan XIV，鞋身选用富有金属质感蓝色珠光皮制作，细节以及大底均配以白色。"
"214","//@龚文祥://@创而优则投://@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
"215","//@龚文祥://@创而优则投://@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
"216","【PayPal：中国小客户走出去的“贴身顾问”】尽管eBay<U+00A0>CEO多纳霍多次公开表示：“我相信，PayPal将成为在中国市场上第一家拿到支付牌照的海外公司。”但时至今日，这句话像是“狼来了”一样，只闻其声，PayPal在中国的第三方支付牌照，尚在沟通和申请中。"
"217","【全球限量26台的梅赛德斯奔驰CLK GTR在美国eBay销售】里程数仅有70英里，售价199.598万美元，折合人民币1232万，世间罕见，国内的汽车收藏家们，该行动了。"
"218","【视频：一亿五千万人爱上的Ebay易趣 广告短片】7-8年前的广告吧 @王-永超 （分享自 @优酷网） http://t.cn/zQWV3G0"
"219","#瑞士钟表博物馆地图# 伯爵时间之廊位于瑞士日内瓦专卖店内，占地180平米，由为伯爵全球打造专卖店的建筑师Gérard Barrau特别设计。展览厅以编年顺序的方式，呈现伯爵工艺的历史和工艺传承，时间之廊还珍藏了伯爵通过拍卖、ebay等不同方法寻找到的经典作品。图为藏品之一：杰奎琳<U+2022>肯尼迪拥有的腕表"
"220","所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！悲剧的c店"
"221","一直鼓吹Big Data大数据的的eBay Inc.今天终于将为广大零售商推出相关服务了，一个在平板电脑上线的Retail Associate Platform零售辅助平台将帮助eBay商家建立消费者数据。"
"222","【iPhone 4转售价格上升10%Galaxy S3跌27%】国外投资公司Piper Jaffray从ebay调查手机转售价格显示，iPhone 4的转售价格自今年四月以来上升10.31%，iPhone 4S则下降11.85%，iPhone 5下降3.75%；不过同一时期，三星Galaxy S3的转售价格下降27.32%，Galaxy Note 2下降则高达35.54%。"
"223","「今日神奇国度」没钱用 西雪梨男子网上卖岳母岳母通常扮演着不太讨女婿喜欢的角色，但一位雪梨男子的做法有点过火了：他在ebay拍卖自己岳母。这听起来似乎很缺德，但其实这是他岳母自己的主意。据七号台报道，来自西雪梨的布什正在做着很多男人一直梦寐以求但却不敢去做的事：甩掉自己的岳母。"
"224","@诡诡1985 @幸福DE木马 //@龚文祥://@创而优则投://@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
"225","//@龚文祥://@创而优则投://@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
"226","//@龚文祥: //@创而优则投://@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
"227","小店难为持 //@龚文祥://@创而优则投://@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
"228","一早儿看到Yahoo! 7的报道，说西悉尼的一位极品男在eBay上拍卖自己的岳母。不过，倒不是因为不和，而是另有苦衷。详情猛戳：http://t.cn/zQWq70U"
"229","天猫是正规军区，C店可以理解是新兵担子！//@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
"230","投资公司Piper Jaffray通过二手手机销售情况来分析手机实际价值。从4月至今数据显示，iPhone 4在eBay上二手销售价格涨10%，iPhone 4S降11.85%，而iPhone 5只降了3.75%。同期，三星Galaxy S3在eBay上售价跌27.32%，Galaxy Note II跌了35.54%。为什么苹果手机保值度比三星高？这就是信仰与忠诚的力量！"
"231","价格，品质是关键 //@龚文祥://@创而优则投://@天使投资唐:所以，阿里要与京东和苏宁易购等抗衡就要推天猫，淘宝店变为牺牲品！在美国，Craigslist.org免费广告吃掉大多①地方报刊黄页广告收入②eBay的本地C2C市场份额！报刊传统媒体抵挡不过免费的互联网！"
